Feature,Duration,SHAP_value,Normalized_Importance,Sum_Normalized_Importance,Type
Heater Dutycycle,220,0.063639596,0.1317259431723305,0.9999999999999999,IBS_N
Search Coil Magnetometer's Temperature,220,0.05433966,0.1124762477304815,0.9999999999999999,IBS_N
Solar Array's Angle,220,0.04088478,0.08462634185944917,0.9999999999999999,IBS_N
High Gain Antenna Azimuth,220,0.08282271,0.17143257148958657,0.9999999999999999,IBS_N
High Gain Antenna elevation,220,0.113391906,0.23470695455009236,0.9999999999999999,IBS_N
Electronic Box Temperature,230,0.13399868,0.2660600046989043,1.0,IBS_N
Heater Dutycycle,230,0.04402629,0.08741604711535458,1.0,IBS_N
Search Coil Magnetometer's Temperature,230,0.06581124,0.13067097992040452,1.0,IBS_N
Solar Array's Angle,230,0.06351584,0.1261133668544709,1.0,IBS_N
High Gain Antenna Azimuth,230,0.081200644,0.16122728764338612,1.0,IBS_N
High Gain Antenna elevation,230,0.11508813,0.22851231376747966,1.0,IBS_N
Electronic Box Temperature,240,0.14040577,0.2929499908346308,1.0,IBS_N
Heater Dutycycle,240,0.04177822,0.08716827781427493,1.0,IBS_N
Search Coil Magnetometer's Temperature,240,0.06149272,0.12830164857467408,1.0,IBS_N
Solar Array's Angle,240,0.03798774,0.07925962077504604,1.0,IBS_N
High Gain Antenna Azimuth,240,0.08558105,0.17856080852744216,1.0,IBS_N
High Gain Antenna elevation,240,0.112036884,0.233759653473932,1.0,IBS_N
Electronic Box Temperature,250,0.13829412,0.26950596760009604,1.0,IBS_N
Heater Dutycycle,250,0.045576718,0.08881937630194772,1.0,IBS_N
Search Coil Magnetometer's Temperature,250,0.07897162,0.1538989717064406,1.0,IBS_N
Solar Array's Angle,250,0.036054283,0.07026216607070998,1.0,IBS_N
High Gain Antenna Azimuth,250,0.08567357,0.16695965367583643,1.0,IBS_N
High Gain Antenna elevation,250,0.12856905,0.2505538646449692,1.0,IBS_N
Electronic Box Temperature,260,0.1385777,0.28148812432207143,1.0,IBS_N
Heater Dutycycle,260,0.049777783,0.10111190162328494,1.0,IBS_N
Search Coil Magnetometer's Temperature,260,0.059562042,0.12098633101409853,1.0,IBS_N
Solar Array's Angle,260,0.04148365,0.08426431401685334,1.0,IBS_N
High Gain Antenna Azimuth,260,0.09354403,0.1900127765594867,1.0,IBS_N
High Gain Antenna elevation,260,0.10935869,0.22213655246420505,1.0,IBS_N
Electronic Box Temperature,270,0.15854304,0.30500310211679543,1.0,IBS_N
Heater Dutycycle,270,0.0562638,0.10823958930571127,1.0,IBS_N
Search Coil Magnetometer's Temperature,270,0.06536834,0.12575478860645917,1.0,IBS_N
Solar Array's Angle,270,0.048295595,0.09291045695589281,1.0,IBS_N
High Gain Antenna Azimuth,270,0.083682254,0.16098686553585456,1.0,IBS_N
High Gain Antenna elevation,270,0.10765493,0.20710519747928677,1.0,IBS_N
Electronic Box Temperature,280,0.15580633,0.30298199959451066,1.0,IBS_N
Heater Dutycycle,280,0.05546514,0.10785787089003046,1.0,IBS_N
Search Coil Magnetometer's Temperature,280,0.06858074,0.13336255169396033,1.0,IBS_N
Solar Array's Angle,280,0.03255307,0.06330291100201178,1.0,IBS_N
High Gain Antenna Azimuth,280,0.08125537,0.15800971937656072,1.0,IBS_N
High Gain Antenna elevation,280,0.12058221,0.23448494744292608,1.0,IBS_N
Radial Distance from Sun,290,0.05644437,0.10271359256559653,1.0,IBS_N
Electronic Box Temperature,290,0.15496074,0.28198692468395586,1.0,IBS_N
Heater Dutycycle,290,0.06712213,0.12214424774260045,1.0,IBS_N
Search Coil Magnetometer's Temperature,290,0.07294747,0.13274480186900972,1.0,IBS_N
High Gain Antenna Azimuth,290,0.06873086,0.12507170424123887,1.0,IBS_N
High Gain Antenna elevation,290,0.12932608,0.23533872889759852,1.0,IBS_N
Electronic Box Temperature,300,0.17464189,0.329333317606065,1.0,IBS_N
Heater Dutycycle,300,0.06174199,0.11643079677104094,1.0,IBS_N
Search Coil Magnetometer's Temperature,300,0.069850795,0.13172208600566068,1.0,IBS_N
Solar Array's Angle,300,0.04649622,0.08768087878997112,1.0,IBS_N
High Gain Antenna Azimuth,300,0.06288554,0.11858726172540222,1.0,IBS_N
High Gain Antenna elevation,300,0.11467273,0.21624565910186003,1.0,IBS_N
Electronic Box Temperature,490,0.22818838,0.36596013609425815,1.0,IBS_N
Heater Dutycycle,490,0.029920563,0.04798549911917875,1.0,IBS_N
Search Coil Magnetometer's Temperature,490,0.06930383,0.11114693508343121,1.0,IBS_N
Solar Array's Angle,490,0.02868823,0.04600912875188202,1.0,IBS_N
High Gain Antenna Azimuth,490,0.09689433,0.15539556481167868,1.0,IBS_N
High Gain Antenna elevation,490,0.1705381,0.2735027361395712,1.0,IBS_N
Radial Distance from Sun,500,0.06482896,0.09322885132172325,1.0,IBS_N
Electronic Box Temperature,500,0.23904693,0.3437672098377697,1.0,IBS_N
Heater Dutycycle,500,0.047063164,0.06768031940179015,1.0,IBS_N
Search Coil Magnetometer's Temperature,500,0.06910349,0.09937594240324368,1.0,IBS_N
Solar Array's Angle,500,0.034511168,0.04962961846697853,1.0,IBS_N
High Gain Antenna Azimuth,500,0.070460625,0.10132760316007992,1.0,IBS_N
High Gain Antenna elevation,500,0.1703601,0.24499045540841471,1.0,IBS_N
Electronic Box Temperature,510,0.24700181,0.39809803690270845,1.0,IBS_N
Heater Dutycycle,510,0.04875747,0.07858344475833072,1.0,IBS_N
Search Coil Magnetometer's Temperature,510,0.04414058,0.07114230557965123,1.0,IBS_N
Solar Array's Angle,510,0.03723182,0.060007311089400515,1.0,IBS_N
High Gain Antenna Azimuth,510,0.07066106,0.11388592363539561,1.0,IBS_N
High Gain Antenna elevation,510,0.17266199,0.2782829780345135,1.0,IBS_N
Radial Distance from Sun,520,0.06727758,0.10177808289171787,1.0,IBS_N
Electronic Box Temperature,520,0.22770508,0.34447413993049764,1.0,IBS_N
